#,Company,Symbol,Weight,Price,Chg,% Chg
85,Ge Vernova Inc.,GEV,0.23%,437.71,10.61,(2.48%)
86,Deere & Company,DE,0.23%,474.72,14.97,(3.26%)
87,Gilead Sciences Inc,GILD,0.22%,92.92,-0.12,(-0.13%)
88,Bristol-Myers Squibb Co.,BMY,0.22%,59.14,2.05,(3.59%)
89,Medtronic Plc,MDT,0.22%,89.25,1.41,(1.61%)
90,"Analog Devices, Inc.",ADI,0.22%,228.35,4.27,(1.91%)
91,Starbucks Corp,SBUX,0.21%,97.99,0.26,(0.27%)
92,Vertex Pharmaceuticals Inc,VRTX,0.21%,439.73,11.73,(2.74%)
93,Kkr & Co. Inc.,KKR,0.21%,165.34,3.83,(2.37%)
94,Lam Research Corp,LRCX,0.21%,81.23,-2.02,(-2.43%)
95,"Marsh & Mclennan Companies, Inc.",MMC,0.21%,217.43,0.09,(0.04%)
96,"Prologis, Inc.",PLD,0.21%,118.54,3.41,(2.96%)
97,"T-Mobile Us, Inc.",TMUS,0.21%,216.04,-2.14,(-0.98%)
98,Lockheed Martin Corp.,LMT,0.20%,497.28,-2.06,(-0.41%)
99,Constellation Energy Corporation,CEG,0.20%,346.22,13.75,(4.14%)
100,Kla Corporation,KLAC,0.20%,760.95,-10.96,(-1.42%)
101,Chubb Limited,CB,0.20%,266.50,-1.82,(-0.68%)
102,"United Parcel Service, Inc. Class B",UPS,0.19%,133.61,1.06,(0.80%)
103,Intel Corp,INTC,0.18%,21.57,-0.29,(-1.33%)
104,Amphenol Corporation,APH,0.18%,78.55,0.71,(0.91%)
105,"Elevance Health, Inc.",ELV,0.18%,401.36,10.63,(2.72%)
106,The Southern Company,SO,0.18%,82.26,-0.26,(-0.32%)
107,"Paypal Holdings, Inc.",PYPL,0.17%,89.73,-0.12,(-0.13%)
108,Trane Technologies Plc,TT,0.17%,400.29,0.73,(0.18%)
109,"Equinix, Inc. Reit",EQIX,0.17%,940.93,15.70,(1.70%)
110,Intercontinental Exchange  Inc.,ICE,0.17%,157.68,3.51,(2.28%)
111,Cadence Design Systems,CDNS,0.17%,324.52,3.03,(0.94%)
112,"Nike, Inc.",NKE,0.17%,74.29,0.25,(0.34%)
113,"Crowdstrike Holdings, Inc. Class A",CRWD,0.17%,377.70,-0.28,(-0.07%)
114,Parker-Hannifin Corporation,PH,0.17%,680.09,5.60,(0.83%)
115,American Tower Corporation,AMT,0.17%,186.39,1.10,(0.59%)
116,"Altria Group, Inc.",MO,0.17%,51.21,0.40,(0.79%)
117,Duke Energy Corporation,DUK,0.16%,109.34,0.52,(0.48%)
118,Cme Group Inc.,CME,0.16%,233.38,0.85,(0.37%)
119,Synopsys Inc,SNPS,0.16%,551.54,6.84,(1.26%)
